id,school_id,framework_id,name,display_order,active
00000000-0000-4000-8500-000000000001,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000001,Oracy,1,true
00000000-0000-4000-8500-000000000002,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000001,Reading,2,true
00000000-0000-4000-8500-000000000003,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000001,Writing,3,true
00000000-0000-4000-8500-000000000004,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000002,Using number skills,1,true
00000000-0000-4000-8500-000000000005,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000002,Using measuring skills,2,true
00000000-0000-4000-8500-000000000006,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000002,Using data skills,3,true
00000000-0000-4000-8500-000000000007,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000002,Developing numerical reasoning,4,true
00000000-0000-4000-8500-000000000008,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000003,Citizenship,1,true
00000000-0000-4000-8500-000000000009,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000003,Interacting and collaborating,2,true
00000000-0000-4000-8500-000000000010,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000003,Producing,3,true
00000000-0000-4000-8500-000000000011,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000003,Data and computational thinking,4,true
00000000-0000-4000-8500-000000000012,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000004,Relationships and sexuality education,1,true
00000000-0000-4000-8500-000000000013,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000004,Human rights,2,true
00000000-0000-4000-8500-000000000014,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000004,Diversity,3,true
00000000-0000-4000-8500-000000000015,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8400-000000000004,Careers and work-related experiences,4,true
00000000-0000-4000-8500-000000000101,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8400-000000000101,Oracy,1,true
00000000-0000-4000-8500-000000000102,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8400-000000000101,Reading,2,true
00000000-0000-4000-8500-000000000103,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8400-000000000101,Writing,3,true
00000000-0000-4000-8500-000000000104,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8400-000000000102,Using data skills,1,true
00000000-0000-4000-8500-000000000105,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8400-000000000103,Producing,1,true
00000000-0000-4000-8500-000000000106,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8400-000000000104,Diversity,1,true
